,Unnamed: 0,Price,District,State,Bedrooms,Tenure,Furnished Type,Size,Bathrooms,Car Slots,House Type,Price per sqft,Price per Bedroom,Room Density,District_code,State_code,Tenure_code,Furnished Type_code,House Type_code,24-Hour Security,Air Conditioner,Badminton Court,Balcony,Basketball Court,Bath Tub,Bbq,Bus Stop,Business Centre,Cafe,Clubhouse,Garage,Garden,Gym,Jacuzzi,Jogging Track,Kitchen Cabinet,Nursery,Parking,Playground,Retail Stores,Salon,Sauna,Squash Court,Swimming Pool,Tennis Courts,Wading Pool
6908,8262,13.805461232211272,subang jaya,selangor,5.0,freehold,unfurnished,7.762596048540069,4.0,2.0,2-sty terrace/link house,421.28,198000.0,0.002127659574468,249,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6909,8263,13.997832948091215,kepong,kuala lumpur,4.0,freehold,unfurnished,7.601402334583733,3.0,4.0,2-sty terrace/link house,600.0,300000.0,0.002,116,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6910,8264,14.207553321415745,petaling jaya,selangor,4.0,freehold,unfurnished,7.650168700845001,3.0,2.0,2-sty terrace/link house,704.76,370000.0,0.0019047619047619,189,13,0,2,2,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0
6911,8265,13.955273369904273,petaling jaya,selangor,4.0,freehold,unfurnished,7.696667081526462,3.0,3.0,2-sty terrace/link house,522.73,287500.0,0.0018181818181818,189,13,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
6912,8266,14.077875591662238,petaling jaya,selangor,4.0,freehold,unfurnished,7.696667081526462,3.0,3.0,2-sty terrace/link house,590.91,325000.0,0.0018181818181818,189,13,0,2,2,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0
6913,8267,14.503645699213111,petaling jaya,selangor,4.0,freehold,partly furnished,7.696667081526462,3.0,2.0,2-sty terrace/link house,904.55,497500.0,0.0018181818181818,189,13,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
6914,8268,14.253766134056512,subang jaya,selangor,6.0,freehold,unfurnished,8.294299608857235,5.0,2.0,2-sty terrace/link house,387.5,258333.3333333333,0.0015,249,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6915,8269,14.038654909278163,subang jaya,selangor,6.0,freehold,unfurnished,7.762596048540069,4.0,2.0,2-sty terrace/link house,531.91,208333.3333333333,0.0025531914893617,249,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6916,8270,13.118357364036902,kulai,johor,5.0,freehold,unfurnished,7.340186835320115,3.0,2.0,2-sty terrace/link house,323.38,99600.0,0.0032467532467532,148,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6917,8271,13.45883704259595,puchong,selangor,5.0,freehold,unfurnished,7.696667081526462,3.0,2.0,2-sty terrace/link house,318.18,140000.0,0.0022727272727272,197,13,0,2,2,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
6918,8272,14.639686439527019,sunway spk,kuala lumpur,5.0,freehold,unfurnished,7.779048644925556,3.0,3.0,2-sty terrace/link house,954.37,456000.0,0.0020929259104227,264,3,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6919,8273,13.45883704259595,shah alam,selangor,4.0,freehold,partly furnished,7.496097345175956,3.0,2.0,2-sty terrace/link house,388.89,175000.0,0.0022222222222222,237,13,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6920,8278,12.94323910384853,pasir gudang,johor,4.0,leasehold,unfurnished,7.0909098220799835,2.0,3.0,2-sty terrace/link house,348.33,104500.0,0.0033333333333333,178,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
